playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,inducted
accarje01,262,7,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,N
aceveal01,204,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
acevejo01,104,101,2,8,2,0,0,4.0,0.0,0.0,5,61.0,0.0,1.0,12.0,1.0,2.0,0.07920792079207921,N
aceveju01,367,65,4,6,2,0,0,0.0,0.0,0.0,3,33.0,0.0,0.0,6.0,0.0,2.0,0.09230769230769231,N
achteaj01,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
ackerji01,467,54,2,9,1,0,0,1.0,0.0,0.0,2,32.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,N
ackerto01,153,77,10,5,0,0,0,2.0,0.0,0.0,12,46.0,0.0,1.0,6.0,0.0,1.0,0.06493506493506493,N
ackledu01,635,2125,261,512,94,18,46,216.0,31.0,12.0,194,419.0,10.0,5.0,11.0,12.0,25.0,0.24094117647058824,N
acklefr01,5,6,0,2,1,0,0,1.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,N
acostcy01,107,7,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,N
acosted01,57,29,1,1,0,0,0,0.0,0.0,0.0,1,15.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,N
acostjo01,55,60,4,9,1,0,0,1.0,1.0,0.0,11,22.0,0.0,0.0,3.0,0.0,0.0,0.15,N
acostma01,233,6,0,0,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N
acostme01,180,436,56,111,9,7,0,37.0,17.0,8.0,63,46.0,0.0,4.0,19.0,0.0,0.0,0.2545871559633027,N
acrema01,114,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
adairje01,1165,4019,378,1022,163,19,57,366.0,29.0,29.0,208,499.0,31.0,17.0,41.0,30.0,149.0,0.25429211246578753,N
adairji01,18,76,9,21,3,1,0,3.0,1.0,0.0,1,8.0,0.0,0.0,2.0,0.0,0.0,0.27631578947368424,N
